brand,model,type,price_aed,year,kms,url
Cadillac,Escalade,Sport Platinum,399000,2024,0,https://uae.dubizzle.com/motors/used-cars/cadillac/escalade/2025/8/27/2024-cadillac-escalade-sport-platinum-gcc--2-048---c5c94fee665648268ddab3ae0773fe85/
Kia,Carnival,Other,50000,2021,170253,https://uae.dubizzle.com/motors/used-cars/kia/carnival/2025/12/25/kia-carnival-ka4-d-22-prestige-9-seats-2-207---a3d64ba5617646568f6c130e4718977a/
DongFeng,Z9,,121900,2026,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/z9/2025/12/8/brand-new-dongfeng-z9-emi-aed-1910-with-de-3-260---655f5f0c55804266904d1a33478ed823/
DongFeng,007,Other,111900,2026,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/007/2025/12/8/brand-new-dongfeng-007-reev-1200-km-range--3-999---8c3ec8cf155846afb8eee4258cf99b58/
DongFeng,HUGE,Other,88900,2026,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/huge/2025/12/4/huge-e1-emi-aed-1244-warranty-service-cont-2-095---eebaad6d87be4768b92796dbf11a402c/
DongFeng,Mage,E2,83000,2025,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/mage/2025/12/4/mage-e2-emi-aed-1166-warranty-service-cont-2-170---839aa973e83d4c699f551b85e5c14b95/
DongFeng,RICH 7,Other,89900,2026,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/rich-7/2025/12/4/rich-7-20l-4x4-with-dealer-warranty-gcc-2-065---0ee0198720344122a0371c8a85a0d6cb/
DongFeng,AX7,E2,76000,2025,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/ax7/2025/12/9/brand-new-dongfeng-ax7-emi-aed-1190-warran-2-041---0ec736c9f6b54cce8a47b851e817c65a/
DongFeng,RICH 7,Other,89900,2026,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/rich-7/2025/12/9/brand-new-dongfeng-rich-7-20l-4x4-aed-1379-3-872---4aa99026c235442095f6f72859a74def/
Jeep,Renegade,Sport,40000,2020,59000,https://uae.dubizzle.com/motors/used-cars/jeep/renegade/2025/6/14/2020-3-247---897f616bb5bb4d2bb9cab5f24b0ca3e0/
BMW,5-Series,530i M-Kit,115000,2021,150000,https://uae.dubizzle.com/motors/used-cars/bmw/5-series/2025/9/20/530i-2021-3-260---165a267218b949b7bc998af1293d732b/
Audi,TT,45 TFSI quattro,56500,2015,80000,https://uae.dubizzle.com/motors/used-cars/audi/tt/2025/6/23/audi-tt-20turbo-gcc-immaculate-condition-f-2-646---9f1a3aac742a453892c73e1e1a29a4ed/
Kia,Sportage,Other,38900,2019,166215,https://uae.dubizzle.com/motors/used-cars/kia/sportage/2025/12/25/kia-the-bold-sportage-d-20-2wd-luxuary-2-282---d4ec186e52514da6b00d4b858bba2ae8/
Mercedes-Benz,CLS-Class,CLS 53 AMG,195000,2019,56000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cls-class/2025/12/25/2019-benz-cls53-amg-brand-new-condition-on-2-365---40c31dd7741b44f5b0de0cae012238fe/
BMW,5-Series,520i,36000,2016,289000,https://uae.dubizzle.com/motors/used-cars/bmw/5-series/2025/12/25/bmw-5-series-520i-2-552---3ad948b60837414dae17e0a07c1dfdd8/
Mercedes-Benz,E-Class,E53 AMG,235000,2021,35000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/25/2021-benz-e53-amg-brand-new-condition-only-2-310---460dae9484724525a3a7df1ee7674156/
Jeep,Grand Cherokee L,Limited,55000,2017,91000,https://uae.dubizzle.com/motors/used-cars/jeep/grand-cherokee-l/2025/12/11/jeep-grand-cherokee-limited-fully-loaded-g-2-046---0228900f523041d992c9d74a995095c0/
Renault,Koleos,Other,55000,2023,50000,https://uae.dubizzle.com/motors/used-cars/renault/koleos/2025/12/3/koleos-2023-gcc-spec-with-warranty-acciden-2-638---87a902c7fbf248c1bba7dab496c611b6/
Mitsubishi,Pajero,GL,32000,2016,103000,https://uae.dubizzle.com/motors/used-cars/mitsubishi/pajero/2025/12/18/year-end-offer-pajero-with-100-bank-loan-0-2-616---c8148ed92ed5406da92d0decbc8cc150/
Mercedes-Benz,E-Class,AMG E 63 S,385000,2021,9000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/25/2021-benz-e63s-amg-brand-new-condition-onl-2-115---c284d419860e41f4bebdd8715446eaf4/
BMW,3-Series,330i,39000,2016,143000,https://uae.dubizzle.com/motors/used-cars/bmw/3-series/2025/12/18/bmw-330i-dual-turbo-gcc-spec-single-owner--2-485---5260ac10c7d34a7a8cd168002ab0392f/
Mercedes-Benz,G-Class,G 63 AMG,625000,2022,44000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/g-class/2025/12/25/2022-benz-g63-amg-double-night-package-g-m-2-536---0f90fcbfd4ef4db7b1210846fe0818db/
MINI,Countryman,S 4WD,110000,2025,3000,https://uae.dubizzle.com/motors/used-cars/mini/countryman/2025/12/25/2025-mini-cooper-countryman-s-2-105---7eb40731a27340928eb51c32461a8203/
Nissan,Xterra,SE,65000,2022,52000,https://uae.dubizzle.com/motors/used-cars/nissan/xterra/2025/11/29/nissan-xteera-25-se-2022-gcc-well-maintain-2-093---014db7baaba14e8985d4e2c6b35c2a94/
Ford,F-Series,Raptor,136000,2018,161000,https://uae.dubizzle.com/motors/used-cars/ford/f-series/2025/12/25/ford-raptor-performance-gcc-under-warranty-3-169---ec4dacd0b6f84b388034aa8696b5ec90/
Volvo,V-Class,T5 R-Design,37000,2018,95000,https://uae.dubizzle.com/motors/used-cars/volvo/v-class/2025/12/7/v-40-gcc-specs-original-paint-excellent-co-2-154---e4dfec09f3684e1ca8c721eb5bf1dfbd/
Ford,Figo,Ambiente,15000,2019,165000,https://uae.dubizzle.com/motors/used-cars/ford/figo/2025/12/11/ford-figo-2019-gcc-2-421---08af2dea88b84d30881dece74b50a3a6/
Land Rover,Discovery,SE,79000,2020,88000,https://uae.dubizzle.com/motors/used-cars/land-rover/discovery/2025/12/11/discovery-2020-gcc-full-service-2-632---67f2f64f24904d10b44e4a96c6f64aac/
Rabdan,One,Other,109900,2022,25486,https://uae.dubizzle.com/motors/used-cars/rabdan/one/2025/10/10/aed2110month-zero-downpayment-under-warran-3-994---fe194465e1bb4713bcfae7b9054fa1c6/
Lamborghini,Urus,S,1290000,2023,2750,https://uae.dubizzle.com/motors/used-cars/lamborghini/urus/2025/12/12/lamborghini-urus-s-certified-pre-owned-dea-2-622---a0eb8a25f3734e529307c660df933b45/
Lamborghini,Revuelto,Other,2390000,2024,6000,https://uae.dubizzle.com/motors/used-cars/lamborghini/revuelto/2025/4/23/lamborghini-revuelto-2024-2-039---ecf3294451534a51aff39c77258c08bd/
Lamborghini,Urus,S,1350000,2024,4000,https://uae.dubizzle.com/motors/used-cars/lamborghini/urus/2025/12/16/lamborghini-urus-s-2024-certified-pre-owne-2-587---ac31bb0ed4b648999374fdec7708a2f3/
Mercedes-Benz,SLR,SLR,1875000,2005,7900,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/slr/2025/10/11/2005-mercedes-mclaren-slr-extensively-main-2-609---7adec40c0205454692fb9e1b38660d6f/
Hyundai,Tucson,GL,49900,2019,114778,https://uae.dubizzle.com/motors/used-cars/hyundai/tucson/2025/10/10/aed960month-zero-downpayment-under-warrant-3-385---da00f107e610413496a3e2606c086efa/
Lamborghini,Revuelto,Other,2525000,2024,0,https://uae.dubizzle.com/motors/used-cars/lamborghini/revuelto/2025/10/28/lamborghini-revuelto-i-brand-new-i-lease-t-2-940---62fd0af0590a4fd98138020e3be83994/
Hyundai,Santa Fe,GLS,47500,2016,158105,https://uae.dubizzle.com/motors/used-cars/hyundai/santa-fe/2025/10/10/aed1460month-zero-downpayment-under-warran-3-887---ac6e97033a4a43e8a1b6eb227f813757/
Volkswagen,Tiguan,Other,39900,2016,137037,https://uae.dubizzle.com/motors/used-cars/volkswagen/tiguan/2024/3/22/ramadan-offer-free-service-contract-free-r-3-586---66692f1e771e41b88996c03496c1a0e0/
Suzuki,Jimny,GL,68000,2025,0,https://uae.dubizzle.com/motors/used-cars/suzuki/jimny/2025/8/5/suzuki-jimny-2025-gl-gcc-specs-0-km-automa-2-732---69485fbaa1f24e21893c86a12e242a6a/
Ford,Edge,Mid option,26000,2014,114000,https://uae.dubizzle.com/motors/used-cars/ford/edge/2025/11/1/2014-ford-edge-se-full-ford-service-in-imm-2-393---0b3633e45cfc47678d7bc8103c209f89/
Audi,A6,35 TFSI S tronic,63900,2018,82000,https://uae.dubizzle.com/motors/used-cars/audi/a6/2025/6/23/audi-a6-35tfsi-gcc-immaculate-condition-fr-2-020---56b8d6410c03460b80b994de107a172c/
Land Rover,Range Rover Evoque,Dynamic Plus,59000,2016,100000,https://uae.dubizzle.com/motors/used-cars/land-rover/range-rover-evoque/2025/9/12/special-range-rover-evoque-top-range-gcc-a-2-399---69e210d10bc04b1a9bd9e77418e8a5ce/
GMC,Yukon,SLT,207000,2025,0,https://uae.dubizzle.com/motors/used-cars/gmc/yukon/2025/9/19/gmc-yukon-elevation-rwd-53l-v8-2025-brand--2-798---eb46bb4364be450684caba4c6f13857b/
Mercedes-Benz,GLC,GLC 300 4MATIC,229000,2025,25,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/glc/2025/10/16/2025-mercedes-glc-300-l-4matic-daynamic-7--2-490---1730899755304defa3c56da96a6a1831/
Mercedes-Benz,GLA,200,116000,2025,25,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gla/2025/10/16/2025-mercedes-gla-200-13t-2-687---80fba6a0a484447aa3984f0061a29d0c/
Land Rover,Discovery,Other,134000,2025,25,https://uae.dubizzle.com/motors/used-cars/land-rover/discovery/2025/7/16/2025-range-rover-discovery-sport-249ps-exp-2-304---929977edfc87486b976e7c6684671922/
GMC,Yukon,SLT,207000,2025,68,https://uae.dubizzle.com/motors/used-cars/gmc/yukon/2025/3/19/2025-gmc-yukon-2wd-slt-elevation-2-073---b7db95d835104551bbc8cc2a7d54f49f/
Chevrolet,Groove,Premier,46000,2025,25,https://uae.dubizzle.com/motors/used-cars/chevrolet/groove/2025/10/25/2025-chevrolet-groove-premier-2-788---301aff56e10f49bcbb2dd009caf69cd3/
Audi,e-tron,Other,112000,2025,20,https://uae.dubizzle.com/motors/used-cars/audi/e-tron/2025/9/4/2025-audi-e-tron-q4-top-version-ev-2-431---5ba52860389442a8bfee2adc9f401d09/
Avatr,12,Other,220000,2025,25,https://uae.dubizzle.com/motors/used-cars/avatr/12/2025/9/4/2025-avatar-12-royal-theatre-2-372---c1815174b57c46018069c39c130a197e/
Mercedes-Benz,GLA,220,125000,2025,20,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gla/2025/5/15/2025-mercedes-benz-gla-220-2-531---01e26df8525d4cbea56bbf8fe1687938/
Land Rover,Range Rover,Supercharged,119000,2016,105000,https://uae.dubizzle.com/motors/used-cars/land-rover/range-rover/2025/2/17/supercharged-range-rover-vogue-v8-gcc-ii-f-2-599---ff1d3ca10f754adfb5fa8f7479bf24ae/
Ford,Explorer,XLT,81000,2022,48861,https://uae.dubizzle.com/motors/used-cars/ford/explorer/2024/11/13/aed2203month-2022-ford-explorer-base-33l-g-2-161---3a4c888ad70b4d909d8c90b83f77aab4/
Toyota,Fortuner,VXR,78000,2017,93996,https://uae.dubizzle.com/motors/used-cars/toyota/fortuner/2025/12/25/toyota-fortuner-2017-vxr-v6-40l-gcc-in-exc-2-078---21eedbb223b3421baf25fa93e9f6bff9/
Mercedes-Benz,C-Class,C300 Coupe,89000,2017,100000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2025/5/26/mercedes-pepsi-c300-coupe-gcc-fully-loaded-2-544---ad1d26361c614f4f8cced83280e716eb/
Mercedes-Benz,GLC,GLC 300,148000,2024,19000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/glc/2025/11/17/mercedes-benz-glc-300-model-2024-with-low--3-230---429cdf554e754a6799b0f84c6218e823/
Nissan,Sentra,SV,49500,2024,19211,https://uae.dubizzle.com/motors/used-cars/nissan/sentra/2025/12/24/original-paint-original-airbags-no-acciden-12-633---ff7435210c9542a9a6a404c641b9ffa7/
Lexus,LS-Series,Full Option (short),65999,2016,112000,https://uae.dubizzle.com/motors/used-cars/lexus/ls-series/2025/12/24/lexus-ls460-2016-vcc-paper-12-721---a6d06960227a4dfea7c55a16a26fd68e/
Toyota,Camry,GLX,16599,2009,210323,https://uae.dubizzle.com/motors/used-cars/toyota/camry/2025/12/24/toyota-camry-2009-top-end-sunroof-airbags--12-694---796e97c25f07446780948f0c39815d02/
Toyota,Corolla,LE,54900,2023,62795,https://uae.dubizzle.com/motors/used-cars/toyota/corolla/2025/12/24/sunroof-alloy-rims-no-accident-12-682---fd781bf1795f42d39db0421979c0fbf9/
Toyota,Rav 4,VXR,38999,2013,175000,https://uae.dubizzle.com/motors/used-cars/toyota/rav-4/2025/12/24/toyota-rav4-vxr-2013-top-end-model-luxury--12-355---b470ee8990ff49329843e47780839852/
Toyota,Rush,EX,41999,2022,60200,https://uae.dubizzle.com/motors/used-cars/toyota/rush/2025/12/24/toyota-rush-ex-2022-7-seater-family-suv-pe-12-343---b378e855d0c84a6c86ab4e82fcf56c68/
McLaren,Artura,Standard,700000,2023,14000,https://uae.dubizzle.com/motors/used-cars/mclaren/artura/2025/12/24/mclaren-artura-2023-gcc-2-213---f69b47912fc647569b7ddabfa0a6d20c/
Nissan,Juke,SL,17000,2015,142375,https://uae.dubizzle.com/motors/used-cars/nissan/juke/2025/12/24/-12-270---1d05c5349fea4fd8b1c6493a0a7487a3/
Toyota,Fortuner,Other,54999,2015,189000,https://uae.dubizzle.com/motors/used-cars/toyota/fortuner/2025/12/24/toyota-fortuner-2015-model-gcc-power-comfo-12-097---f42eb49713cb4592be9528926ca3837e/
Honda,Accord,DX,12999,2008,189000,https://uae.dubizzle.com/motors/used-cars/honda/accord/2025/12/24/honda-accord-35-2008-model-comfort-reliabi-12-088---c215b1d49ed242178f439704e3c810a9/
Jeep,Grand Cherokee,Limited,56000,2017,130000,https://uae.dubizzle.com/motors/used-cars/jeep/grand-cherokee/2025/12/24/aed-896-pm-jeep-grand-cherokee-limited-36l-2-507---090ded12c8504207872c1b60815ecee4/
Mitsubishi,ASX,GLX Medium Line,59900,2024,20,https://uae.dubizzle.com/motors/used-cars/mitsubishi/asx/2025/12/17/2024-gcc-mitsubishi-asx-official-dealer-wa-2-347---71e728f6bb94455c8eb70739a793420d/
Mercedes-Benz,C-Class,C300 Coupe,75000,2019,115000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2025/12/24/mercedes-c300-in-good-condition-3-621---76ec50997c184930bcd92c65472afc9d/
MG,MG 7,Luxury,96000,2025,14000,https://uae.dubizzle.com/motors/used-cars/mg/mg-7/2025/12/24/aed-1536-mg-7-trophy-20l-turbo-2025-gcc-un-2-504---70797878c9f5424b9a0cc2aca64eecbd/
Mercedes-Benz,E-Class,E 300,64000,2016,84000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/8/2016-gcc-mercedes-e300-low-mileage-perfect-2-961---a5473285faee4f308183eecedcf22326/
JAC,S3 Plus,Intelligent Luxury,27900,2023,68000,https://uae.dubizzle.com/motors/used-cars/jac/s3-plus/2025/12/13/2023-gcc-jac-s3-full-service-history-and-w-2-955---3d964abe8fcc403abd1a8aed12c91aec/
Ford,Escape,SE,37000,2020,60000,https://uae.dubizzle.com/motors/used-cars/ford/escape/2025/12/24/fsh-25l-not-negotiable-2-460---aa2d49e07b2d4ccaa2dc6c9be6e8ce2e/
Mercedes-Benz,C-Class,C63 S AMG,89000,2015,158000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2025/12/24/c63-s-amg-2015-12-076---3d3b8a1380f540c4b517eb430881d74c/
GMC,Yukon,Other,17000,2007,261000,https://uae.dubizzle.com/motors/used-cars/gmc/yukon/2025/11/24/2007-12-068---434b07c8b048498ba51764fb3237fd00/
Toyota,Hiace,GL,71999,2017,228000,https://uae.dubizzle.com/motors/used-cars/toyota/hiace/2025/12/24/toyota-hiace-chiller-van-2017-model-gcc-re-12-686---3a2cc0f3c43345c0a7aff85181ac5161/
Toyota,Hilux,DLX MID,91999,2024,34000,https://uae.dubizzle.com/motors/used-cars/toyota/hilux/2025/12/24/toyota-hilux-2024-diesel-34000kms-driven-o-12-028---9ef37f2ccc6144efa276754b2e539e35/
RAM,1500,Laramie Crew Cab,115000,2023,55000,https://uae.dubizzle.com/motors/used-cars/ram/1500/2025/12/8/2023-ram-1500-laramie-v8-etorque-2-185---a8b11969ea774337bc549c0b70f8f0e2/
Land Rover,Range Rover Sport,Supercharged,98000,2018,120000,https://uae.dubizzle.com/motors/used-cars/land-rover/range-rover-sport/2025/12/24/sport-supercharged-2016-12-964---9285130e4466485da979d7dd3c8fdda8/
Land Rover,Range Rover,HSE TOP,58000,2015,150000,https://uae.dubizzle.com/motors/used-cars/land-rover/range-rover/2025/9/17/range-rover-vogue-hse-2015-gcc-for-sale-2-840---1de099628ccb49139688997ec7199783/
Volvo,S90,Ultimate Bright,149999,2024,5000,https://uae.dubizzle.com/motors/used-cars/volvo/s90/2025/12/13/2938-pm-s90-ultimate-bright-0-downpayment--2-835---5087f9ab97fe46b5b0910d00ac806a04/
Hyundai,Tucson,N Line,86000,2025,25,https://uae.dubizzle.com/motors/used-cars/hyundai/tucson/2025/10/30/2025-hyundai-tucson-15t-elite-n-lain-with--2-608---888f054fce55465fade5a03a82c47f13/
Mercedes-Maybach,GLS-Class,GLS 600,950000,2025,400,https://uae.dubizzle.com/motors/used-cars/mercedes-maybach/gls-class/2025/12/24/mercedes-maybach-gls-2025-400km-gcc-under--2-971---701868bf6c194fa3abfaaa7d98a0c7db/
Skoda,Superb,Other,67000,2025,35,https://uae.dubizzle.com/motors/used-cars/skoda/superb/2025/12/4/2025-skoda-superb-tsi-280-dsg-enjoyment-ed-2-043---86fbd26e62a6404fade6ef7f6666d5f6/
Dodge,Ram,1500 Big Horn,174900,2025,10700,https://uae.dubizzle.com/motors/used-cars/dodge/ram/2025/12/8/2025-ram-bighorn-gcc-specs-under-warranty--2-064---8eb22be55b4646c697f4a949582677ee/
Nissan,Sentra,S,13000,2013,255000,https://uae.dubizzle.com/motors/used-cars/nissan/sentra/2025/12/24/nissan-sentra-gcc-2-296---d45e1a7728b54091bb2c034fa068320c/
Toyota,Tundra,SR5,149000,2024,21000,https://uae.dubizzle.com/motors/used-cars/toyota/tundra/2025/12/24/toyota-tundra-sr5-2024-v6-twin-turbo-orgin-12-308---18e90ce159784007ae19561bc006b997/
Volkswagen,Touareg,Comfortline,195000,2024,21000,https://uae.dubizzle.com/motors/used-cars/volkswagen/touareg/2025/12/24/volkswagen-touareg-2024-gcc-under-warrnty--12-968---ecac1c3c1fd7404c8a8342af2cab43ca/
Jetour,X70,Plus Comfort,89000,2025,10,https://uae.dubizzle.com/motors/used-cars/jetour/x70/2024/8/23/2025-brand-new-jetour-x70-plus-comfort-7-s-2-681---ed8b6204ada54f15a67f7d94b837e3c8/
Jetour,X50,Premium,69000,2025,10,https://uae.dubizzle.com/motors/used-cars/jetour/x50/2024/12/20/brand-new-2025-jetour-x50-ii-gcc-ii-5-year-2-951---ec6269c36bcf41a09d3c63abeac975a3/
Jetour,X70 FL,Comfort,79000,2026,20,https://uae.dubizzle.com/motors/used-cars/jetour/x70-fl/2025/6/20/2026-brand-new-jetour-x70-fl-ii-gcc-ii-5-y-2-284---db851b6237f449c3b9b0cf2d563ee8b2/
Jetour,Dashing,1.5T Standard,79000,2026,32,https://uae.dubizzle.com/motors/used-cars/jetour/dashing/2025/6/20/2026-brand-new-jetour-dashing-ii-gcc-ii-6--2-941---ea273e24369a45e5ac97325171176511/
Jetour,T1,Other,119000,2025,16,https://uae.dubizzle.com/motors/used-cars/jetour/t1/2025/4/8/brand-new-2025-jetour-t1-ii-gcc-ii-6-years-2-717---cf613b21835e47eca433e5a4ef714dd3/
Jetour,Dashing,1.5T Standard,79000,2026,30,https://uae.dubizzle.com/motors/used-cars/jetour/dashing/2025/6/20/2026-brand-new-jetour-dashing-ii-gcc-ii-6--2-146---d9d749a5a865417181baf58d6177cb7e/
Jetour,X70,FL,79000,2025,11,https://uae.dubizzle.com/motors/used-cars/jetour/x70/2024/8/23/brand-new-2025-jetour-x70-fl-7-seater-warr-2-634---98182450f8734b5d94998ad901d6a9bd/
Jetour,T1,Luxury 4WD,119000,2026,14,https://uae.dubizzle.com/motors/used-cars/jetour/t1/2025/6/20/2026-brand-new-jetour-t1-ii-gcc-ii-6-years-2-287---2e7ae291ea03460faee8aed0a4fb3285/
Jetour,X50,Premium,69000,2026,22,https://uae.dubizzle.com/motors/used-cars/jetour/x50/2025/6/20/2025-brand-new-jetour-x50-ii-gcc-ii-5-year-2-163---763abbb91dbf4c48b89bb9ca15bdea50/
Jetour,X50,Premium,69000,2025,10,https://uae.dubizzle.com/motors/used-cars/jetour/x50/2024/12/20/brand-new-2025-jetour-x50-ii-gcc-ii-5-year-2-748---7289356b76d34e40a0b9c6075c08cc6b/
Jetour,T2,Luxury,139000,2026,28,https://uae.dubizzle.com/motors/used-cars/jetour/t2/2025/7/11/2026-brand-new-jetour-t2-gcc-6-years-warra-2-004---265abe0eecbb472d826e8c166eb373a8/
Jetour,Dashing,Other,79000,2025,35,https://uae.dubizzle.com/motors/used-cars/jetour/dashing/2024/8/26/brand-new-2025-jetour-dashing-ii-6-years-u-2-494---1467866e7a404c45b58e1c994dc928bc/
Jetour,X70,Plus Luxury,99000,2025,11,https://uae.dubizzle.com/motors/used-cars/jetour/x70/2024/8/23/brand-new-2025-jetour-x70-plus-luxury-l-wa-2-885---0492927273fc40a7873e20118228a3b9/
Jetour,T1,Other,119000,2025,17,https://uae.dubizzle.com/motors/used-cars/jetour/t1/2025/4/8/brand-new-2025-jetour-t1-ii-gcc-ii-6-years-2-810---027d838a2ed243f0b0e8c9b1318c05a0/
Mazda,3,Luxury Plus,32000,2018,119000,https://uae.dubizzle.com/motors/used-cars/mazda/3/2025/12/24/gcc-mazda3-2018-top-option-with-sunroof-pu-2-151---e6f371878afa4f52b766e15616067486/
Volkswagen,ID.4,PURE +,64000,2021,97000,https://uae.dubizzle.com/motors/used-cars/volkswagen/id4/2025/12/24/volkswagen-id4-2021-accident-free-perfect--12-005---aa57cd23a9654814a5d8f78e8312a819/
Ford,Edge,SEL,109999,2023,73,https://uae.dubizzle.com/motors/used-cars/ford/edge/2025/10/14/2350-pm-0-downpayment-edge-sel-agency-warr-2-458---d671f5c01e8548c48aa39cc42597cc11/
Land Rover,Range Rover Evoque,Other,152000,2025,35,https://uae.dubizzle.com/motors/used-cars/land-rover/range-rover-evoque/2025/12/10/2025-range-rover-evoque-249ps-premium-hono-2-124---115e28ff15624f998e5c1666bc099f57/
Jaguar,E-Pace,Other,134999,2021,5000,https://uae.dubizzle.com/motors/used-cars/jaguar/e-pace/2023/6/26/3915-pm-e-pace-p300-0-downpayment-excellen-2-913---7f6b1c4174a44ecc96d685cfe5c4d240/
BMW,X3,xDrive30i M Sport,200000,2026,25,https://uae.dubizzle.com/motors/used-cars/bmw/x3/2025/11/12/2026-bmw-x3xdrive30l-premium-edition-m-spo-2-173---b64de8e504d346b2b17414d1309399d7/
MG,MG5,Other,45000,2026,25,https://uae.dubizzle.com/motors/used-cars/mg/mg5/2025/12/5/2026-mg5-15l-at-del-2wd-2-575---98b51c0c77974b12b3ff531fb6a96fa1/
BMW,3-Series,325Li M Kit,152000,2025,35,https://uae.dubizzle.com/motors/used-cars/bmw/3-series/2025/11/26/bmw-3-series-325li-m-sport-package-2-890---80939871309c4643932fc6e919971a8d/
Chevrolet,Tahoe,LS,189000,2025,68,https://uae.dubizzle.com/motors/used-cars/chevrolet/tahoe/2025/3/8/2025-chevrolet-tahoe-ls-53l-v8-2wd-2-523---4f910da5442041c780ee3623b4743558/
MG,ZS,Other,44000,2026,25,https://uae.dubizzle.com/motors/used-cars/mg/zs/2025/12/5/2026-mg-zs-15l-at-std-2wd-2-486---717d79f62af742ac8649ffa9d61e4ead/
Avatr,12,Ultra,155000,2025,34,https://uae.dubizzle.com/motors/used-cars/avatr/12/2025/12/3/2025-avatr-12-new-ultra-extended-range-ver-2-045---698fd9592dea44cda0af1e846ec9a34c/
Mazda,3,Other,70000,2025,25,https://uae.dubizzle.com/motors/used-cars/mazda/3/2025/12/3/2025-mazda-3-axela-20l-at-quality-ultimate-2-451---dc6abf118d7042ff87604aaccda784d9/
Chevrolet,Captiva,Premier,53000,2024,83,https://uae.dubizzle.com/motors/used-cars/chevrolet/captiva/2025/3/6/2024-chevrolet-captiva-15t-premier-2-666---42e518c6d10641b4ababed19f6925880/
Mazda,3,Other,74000,2025,25,https://uae.dubizzle.com/motors/used-cars/mazda/3/2025/12/3/2025-mazda-3-axela-20l-at-quality-ultimate-2-334---072ae9e447254492b2ffb7baa6f1120c/
MG,ZS,Other,44000,2026,35,https://uae.dubizzle.com/motors/used-cars/mg/zs/2025/12/5/2026-mg-zs-15l-at-std-2wd-2-651---d0cac398982c4e1fa9ee16440e8d968d/
BYD,Song Pro,DM-i,62000,2025,36,https://uae.dubizzle.com/motors/used-cars/byd/song-pro/2025/12/15/2025-byd-song-pro-dmi-smart-drive-75km-lea-2-303---0a0da2dd1be145eeb85e64a4db711f32/
BYD,Song Pro,DM-i,62000,2025,25,https://uae.dubizzle.com/motors/used-cars/byd/song-pro/2025/12/15/2025-byd-song-pro-dmi-smart-drive-75km-lea-2-222---47651286bdac4d8caa51ef76c19fbfe7/
Mazda,CX-30,Other,75000,2025,35,https://uae.dubizzle.com/motors/used-cars/mazda/cx-30/2025/12/4/2025-mazda-cx-30-20l-at-joy-2-153---94825c0b1b5f45779d565e675117704c/
BMW,X3,xDrive30i M Sport,235000,2026,25,https://uae.dubizzle.com/motors/used-cars/bmw/x3/2025/12/13/2026-bmw-x3xdrive30l-premium-edition-m-spo-2-161---c84ff94ea0394a47954c8b8f8e648e98/
Jeep,Grand Cherokee,Limited,49999,2017,242000,https://uae.dubizzle.com/motors/used-cars/jeep/grand-cherokee/2025/7/16/1425-pm-4-years-grand-cherokee-limited-v6--2-700---9f757d00fe5c46f2a60db7a00b32904b/
Fiat,500,Connect,44999,2023,22000,https://uae.dubizzle.com/motors/used-cars/fiat/500/2025/10/27/882-pm-500-connect-0-downpayment-perfect-c-2-537---1a359772ed5443eebfeec0363a8cac2d/
Ford,Explorer,XLT,145999,2023,76,https://uae.dubizzle.com/motors/used-cars/ford/explorer/2025/11/11/2938-pm-0-downpayment-explorer-xlt-agency--2-402---fbdd0f517f4149b2a0ac8916cf87e18e/
BMW,X2,sDrive20i M Sport,142000,2026,25,https://uae.dubizzle.com/motors/used-cars/bmw/x2/2025/10/29/2026-bmw-x2-25i-sdrive-m-sport-package-2-956---ce37b68260854b3c8e9279fe44850e83/
Lincoln,Aviator,Presidential,213999,2022,9000,https://uae.dubizzle.com/motors/used-cars/lincoln/aviator/2025/11/10/4309-pm-0-downpayment-aviator-presidential-2-520---cc6ef886ffdf42ef82f379044c507239/
GMC,Acadia,AT4,114999,2023,56000,https://uae.dubizzle.com/motors/used-cars/gmc/acadia/2025/11/25/2253-pm-0-downpayment-at4-full-option-agen-2-505---b813fe8daf344401a1a8d385a24e77f4/
BAIC,BJ40 C,Luxury,102999,2024,20000,https://uae.dubizzle.com/motors/used-cars/baic/bj40-c/2025/12/10/2057-pm-bj40c-luxury-0-downpayment-agency--2-041---e8cb6338d8e74eb9a33f588aea7994db/
